License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
404-00526,VENTURE PRODUCT CONSULTING LLC,Rize,Medical Marijuana Products Mfg,"4242 North Elizabeth Street, Unit 2",Denver,CO,80216,2024-09-03,39.77593,-104.956381
404-00397,VIOLA INC,Viola's Extracts,Medical Marijuana Products Mfg,4645 North Joliet Street,Denver,CO,80239,2024-09-03,39.782371,-104.8614
404-00686,WALSENBURG CANNABIS LLC,,Infused Product Manufacturer,7891 Tamarack Lane,Ordway,CO,81063,2024-09-03,38.061467,-102.928414
404-00847,WARE HAUSE LLC,,Medical Marijuana Products Mfg,153 North Vallejo Street,Denver,CO,80223,2024-09-03,39.707374,-105.013333
404-00683,WEST EDISON INC,West Edison Cannabis Concentrates,Medical Marijuana Products Mfg,462 Laredo Street Unit D&E,Aurora,CO,80011,2024-09-03,39.723496,-104.800498
404-00139,WILLOUGHBY ENTERPRISES LLC,Nine Extracts,Medical Marijuana Products Mfg,2430 Platte Place,Colorado Springs,CO,80909,2024-09-03,38.8370289,-104.7837721
404-00122,WM CONCENTRATES LLC,,Medical Marijuana Products Mfg,5124 North Havana Street ,Denver,CO,80239,2024-09-03,39.755386,-104.864846
404-00556,WONDERLAND EDIBLES LTD,Wonderland Edibles,Medical Marijuana Products Mfg,"5475 North Peoria Street, Unit 4-109",Denver,CO,80239,2024-09-03,39.796292,-104.847165
404-00687,WORKHORSE GLOBAL LLC,,Medical Marijuana Products Mfg,1910 South Cherokee Street,Denver,CO,80223,2024-09-03,39.6818396,-104.991
404-00076,WPJJ LLC,Eureka Vapor,Medical Marijuana Products Mfg,2190 South Jason Street,Denver,CO,80223,2024-09-03,39.6769123,-104.9993535
404-00616,XLNY LLC,Made in Xiaolin,Medical Marijuana Products Mfg,"35715 US Highway 40, Unit D303",Evergreen,CO,80439,2024-09-03,39.741408,-105.431886
404-00385,YETI FARMS LLC,Yeti Farms LLC,Medical Marijuana Products Mfg,1650 Siloam Road,Pueblo,CO,81005,2024-09-03,38.2264739,-104.975429
404-00615,Z VAPES LLC,,Medical Marijuana Products Mfg,5095 North Colorado Boulevard,Denver,CO,80216,2024-09-03,39.787231,-104.940635
404R-00138,1-11 LLC,1:11,Retail Marijuana Products Mfg,54414 County Road F,Center,CO,81125,2024-09-03,37.820974,-106.012161
404R-00378,710 PROVIDERS LLC,Herban Legendz,Retail Marijuana Products Mfg,"101 Cardinal Way, Units 8 and 9",Parachute,CO,81635,2024-09-03,39.44628,-108.052607
404R-00222,81082 LLC,Colorado Cannabis Exchange II,Retail Marijuana Products Mfg,123 Pine Street,Trinidad,CO,81082,2024-09-03,37.1730063,-104.509181
404R-00558,A & M LLC,Border Buds,Retail Marijuana Products Mfg,84 Goldmine Drive,Pagosa Springs,CO,81147,2024-09-03,37.2691991,-107.0311019
404R-00402,AB CO PACKAGING LLC,,Retail Marijuana Products Mfg,3373 South Interstate 25,Pueblo,CO,81004,2024-09-03,38.069344,-104.711251
404R-00460,ACES PLACE LLC,,Retail Marijuana Products Mfg,14621 County Road 98,Nunn,CO,80648,2024-09-03,40.6960022,-104.775428
404R-00410,AF INC,Apothecary Extracts,Retail Marijuana Products Mfg,65 Precision Drive,Pueblo West,CO,81007,2024-09-03,38.335082,-104.727394
404R-00509,ALIEN EXTRACTS LLC,Alien Extracts,Retail Marijuana Products Mfg,20315 Sherman Lane,Ordway,CO,81063,2024-09-03,38.225581,-103.755342
404R-00535,ALL GOOD COLLECTIVE LLC,All Good Collective,Retail Marijuana Products Mfg,4725 South Nautilus Court Unit 4,Boulder,CO,80301,2024-09-03,40.060621,-105.205228
404R-00562,ALL PRO FARMS LLC,,Retail Marijuana Products Mfg,1500 US Highway 85/87,Walsenburg,CO,81089,2024-09-03,37.641901,-104.789881
404R-00234,ALLGREENS LLC,,Retail Marijuana Products Mfg,1235 South Huron Street,Denver,CO,80223,2024-09-03,39.6942073,-104.9969316
404R-00293,ALLGREENS LLC,,Retail Marijuana Products Mfg,2291 South Kalamath Street,Denver,CO,80223,2024-09-03,39.6751098,-105.0007235
404R-00542,ALPINE ALCHEMY LLC,,Retail Marijuana Products Mfg,260 Griffing Road ,Gunnison,CO,81230,2024-09-03,38.528323,-107.037294
404R-00124,ANTS ORGANIC LLC,Honest Marijuana Company,Retail Marijuana Products Mfg,231 Arthur Avenue,Oak Creek,CO,80467,2024-09-03,40.273702,-106.961794
404R-00211,ARSENAL OILS & EXTRACTS LLC,,Retail Marijuana Products Mfg,"472 Laredo Street, Unit H",Aurora,CO,80011,2024-09-03,39.7233443,-104.7994953
404R-00258,AVICENNA PRODUCTS LLC,High Tech Concentrates,Retail Marijuana Products Mfg,3950 North Grape Street,Denver,CO,80207,2024-09-03,39.772075,-104.92454
404R-00436,AVICENNA PRODUCTS LLC,High Tech Concentrates,Retail Marijuana Products Mfg,1822 South Bannock Street,Denver,CO,80223,2024-09-03,39.6835214,-104.9896395
404R-00383,AVICENNA PRODUCTS LLC,High Tech Concentrates,Retail Marijuana Products Mfg,35715 US Highway 40 Building D Unit 106,Evergreen,CO,80439,2024-09-03,39.741408,-105.431886
404R-00553,BACHAZ LLC,BACHAZ,Retail Marijuana Products Mfg,1221 Pecos Street Suite 110,Denver,CO,80204,2024-09-03,39.735742,-105.0068892
404R-00186,BD EXTRACTIONS LLC,Dabs Labs,Retail Marijuana Products Mfg,"128 Maine Street, Building A",Log Lane Village,CO,80705,2024-09-03,40.269166,-103.83202
404R-00161,BEDDOR CLAUDE LLC,Chronic Creations,Retail Marijuana Products Mfg,"482 Laredo Street, Units P, Q, R, S, and T",Aurora,CO,80011,2024-09-03,39.723808,-104.800498
404R-00162,BESPOKE EXTRACTS COLORADO LLC,,Retail Marijuana Products Mfg,"12001 East 33rd Avenue, Unit O",Aurora,CO,80010,2024-09-03,39.7647608,-104.8483447
404R-00552,BEST BUDS BUBBLES LLC,Best Buds Bakery,Retail Marijuana Products Mfg,19655 Tamak Lane,Ordway,CO,81063,2024-09-03,38.317486,-103.780036
404R-00495,BETTER GREEN LLC,,Retail Marijuana Products Mfg,25 Bent Avenue,Las Animas,CO,81054,2024-09-03,38.0734094,-103.2199863
404R-00036,BEYOND BROADWAY LLC,LivWell,Retail Marijuana Products Mfg,5141 North National Western Drive,Denver,CO,80216,2024-09-03,39.7880985,-104.9687887
404R-00297,BIG TOP LLC,,Retail Marijuana Products Mfg,1952 South Acoma Street,Denver,CO,80223,2024-09-03,39.6808661,-104.9885794
404R-00404,BK HOLDINGS LLC,The Herbal Center,Retail Marijuana Products Mfg,12001 East 37th Avenue ,Denver,CO,80239,2024-09-03,39.768162,-104.848436
404R-00021,BLUE COTTAGE LLC,Mary Jane's Medicinals,Retail Marijuana Products Mfg,1510 Grand Avenue,Norwood,CO,81423,2024-09-03,38.130659,-108.2912399
404R-00385,BOULDER BUILT LLC,,Retail Marijuana Products Mfg,5305 Vasquez Boulevard,Commerce City,CO,80022,2024-09-03,39.7933041,-104.9395876
404R-00350,BOULDER LH HOLDINGS LLC,Stardust Concentrates,Retail Marijuana Products Mfg,3386 Longhorn Road,Boulder,CO,80302,2024-09-03,40.0796152,-105.2781847
404R-00060,BOULDER MANUFACTURING LLC,,Retail Marijuana Products Mfg,5575 Arapahoe Avenue  Units B & C,Boulder,CO,80303,2024-09-03,40.014776,-105.223357
404R-00041,BOULDER ORGANIC FOOD GROUP LLC,Potions,Retail Marijuana Products Mfg,9125 West 44th Avenue,Wheat Ridge,CO,80033,2024-09-03,39.7781682,-105.0989863
404R-00166,BOULDER SWEET GRASS LLC,Sweet Mary Jane,Retail Marijuana Products Mfg,"1700 North 55th Street, Suite C",Boulder,CO,80301,2024-09-03,40.0871197,-105.2337414
404R-00090,BRECKENRIDGE INVESTMENTS LLC,The Dispensary,Retail Marijuana Products Mfg,"1805 Airport Road, Unit B2",Breckenridge,CO,80424,2024-09-03,39.5075025,-106.0518647
404R-00334,BUD FOX ENTERPRISES LLC,,Retail Marijuana Products Mfg,"14896 East 38th Avenue, Unit B",Aurora,CO,80011,2024-09-03,39.7684311,-104.8147025
404R-00340,C & R COLORADO LLC,Smokiez,Retail Marijuana Products Mfg,2585 West 8th Avenue,Denver,CO,80204,2024-09-03,39.7296096,-105.0189325
404R-00156,C2CC LLC,Bonanza,Retail Marijuana Products Mfg,5919 North Broadway,Denver,CO,80216,2024-09-03,39.791033,-104.987547
404R-00079,CANNA CLUB LLC,Best Buds,Retail Marijuana Products Mfg,"11900 East 33rd Avenue, Suite 2",Aurora,CO,80010,2024-09-03,39.7632007,-104.8495745
404R-00263,CANNXTRACTS LLC,,Retail Marijuana Products Mfg,6185 Arapahoe Road Unit D,Boulder,CO,80303,2024-09-03,40.015524,-105.2092685
404R-00299,CANYON LLC,,Retail Marijuana Products Mfg,678 North Bryant Street,Denver,CO,80204,2024-09-03,39.726066,-105.018604
404R-00561,CB CO MANUFACTURING LLC,,Retail Marijuana Products Mfg,9690 Dallas Street Unit A,Commerce City,CO,80640,2024-09-03,39.8733532,-104.8760393
404R-00047,CC BRANDS LLC,Cheeba Chews,Retail Marijuana Products Mfg,4945 North Pearl Street,Denver,CO,80216,2024-09-03,39.786596,-104.980102
404R-00074,CCC INC,The Happy Camper Cannabis Company,Retail Marijuana Products Mfg,80 Rosalie Road,Bailey,CO,80421,2024-09-03,39.439889,-105.449278
404R-00549,CENTRAL CITY CANNABIS LLC,,Retail Marijuana Products Mfg,"135 Nevada Street, Unit 3 ",Central City,CO,80427,2024-09-03,39.7995599,-105.5128091
404R-00414,CG INDUSTRY LLC,C.G. LABS,Retail Marijuana Products Mfg,"4902 East Smith Road, Unit A,",Denver,CO,80216,2024-09-03,39.7762078,-104.9371257
404R-00360,CGFR GROUP INC,Habana Extracts,Retail Marijuana Products Mfg,"5301 Vasquez Boulevard, Unit 102",Commerce City,CO,80022,2024-09-03,39.7937776,-104.9395528
404R-00488,CHECKER SIX LLC,TS Labs,Retail Marijuana Products Mfg,1120 North Yuma Court,Denver,CO,80204,2024-09-03,39.734083,-105.014922
404R-00388,CIELO VERDE LLC,Outer Other,Retail Marijuana Products Mfg,"1225 Blue Spruce Drive, Unit P",Fort Collins,CO,80524,2024-09-03,40.6032491,-105.0719132
404R-00024,CLEARVIEW INDUSTRIES LLC,,Retail Marijuana Products Mfg,2145 West Evans Avenue,Denver,CO,80223,2024-09-03,39.6787434,-105.0126503
404R-00073,CLIINTEL CAPITAL GROUP LLC ,Clear Colorado Group,Retail Marijuana Products Mfg,"5156 North Clarkson Street, Building 2",Denver,CO,80216,2024-09-03,39.787628,-104.94064
404R-00336,CLONATI LIMITED,Left Hands,Retail Marijuana Products Mfg,"6859 North Foothills Highway, Building C-600",Boulder,CO,80302,2024-09-03,40.098832,-105.282145
404R-00281,CLUTCHX LLC,Clutch Extracts,Retail Marijuana Products Mfg,"77 North Laser Drive, Suite A",Pueblo West,CO,81007,2024-09-03,38.331276,-104.710791
404R-00209,COLD BAKED LLC,Concentrate Distribution Center,Retail Marijuana Products Mfg,920 East Spaulding Avenue,Pueblo West,CO,81007,2024-09-03,38.320934,-104.704879
404R-00331,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,Retail Marijuana Products Mfg,4571 North Ivy Street,Denver,CO,80216,2024-09-03,39.77986,-104.920111
404R-00046,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,Retail Marijuana Products Mfg,505 West 40th Avenue,Denver,CO,80216,2024-09-03,39.771809,-104.9938517
404R-00093,COLORADO DISTRIBUTING INC,Apex Extracts,Retail Marijuana Products Mfg,893 East Enterprise Drive,Pueblo West,CO,81007,2024-09-03,38.3260135,-104.705327
404R-00345,COLORADO MEDICAL PROCESSING LLC,Colorado's Best Dabs,Retail Marijuana Products Mfg,"5475 North Peoria Street, Unit 4-111 & 4-112",Denver,CO,80239,2024-09-03,39.796292,-104.847165
404R-00556,COMMISSARY COLLECTIVE INC,,Retail Marijuana Products Mfg,4809 Colorado Boulevard,Denver,CO,80216,2024-09-03,39.7839856,-104.9406663
404R-00344,CONSCIOUS CONFECTIONS II LLC,Native Roots Extracts,Retail Marijuana Products Mfg,4990 North Dahlia Street,Denver,CO,80216,2024-09-03,39.786904,-104.93154
404R-00006,CONSCIOUS CONFECTIONS LLC,Native Roots Extracts,Retail Marijuana Products Mfg,680 North Lipan Street ,Denver,CO,80204,2024-09-03,39.727037,-105.001526
404R-00458,CONSCIOUSLY CRAFTED LLC,DabLogic,Retail Marijuana Products Mfg,"500 Buggy Circle, LL5 & LL6",Carbondale,CO,81623,2024-09-03,39.400808,-107.087631
404R-00316,CONSCIOUSLY CRAFTED LLC,DabLogic,Retail Marijuana Products Mfg,"5000 East 41st Avenue, Unit 100",Denver,CO,80216,2024-09-03,39.7736341,-104.9294624
404R-00395,COSMIC FOODS HOLDINGS LLC,Cosmic Kitchen,Retail Marijuana Products Mfg,419 South 10th Street,Gunnison,CO,81230,2024-09-03,38.5408167,-106.937531
404R-00526,CULTIV8 PARIS MFG INC,Rivers,Retail Marijuana Products Mfg,230 South Santa Fe Drive,Denver,CO,80223,2024-09-03,39.7129742,-104.9978897
404R-00346,D AND C MEDICAL MARIJUANA LLC,Golden Leaf,Retail Marijuana Products Mfg,1755 Lincoln Avenue,Steamboat Springs,CO,80487,2024-09-03,40.4968351,-106.8534268
404R-00305,DARK HORSE GENETICS LLC,,Retail Marijuana Products Mfg,2145 South Kalamath Street,Denver,CO,80223,2024-09-03,39.6776722,-105.0007286
404R-00533,DAVID JACKSON LLC,Timberline Extracts,Retail Marijuana Products Mfg,108 Rio Vista Avenue,Antonito,CO,81120,2024-09-03,37.0695073,-106.0089491
404R-00011,DENCO LLC,,Retail Marijuana Products Mfg,922 East Kimble Drive,Pueblo West,CO,81007,2024-09-03,38.323527,-104.703985
404R-00175,DENVER PACKAGING COMPANY,,Retail Marijuana Products Mfg,5100 North Cook Street,Denver,CO,80216,2024-09-03,39.775669,-104.947523
404R-00447,DIAMOND STAR LLC,,Retail Marijuana Products Mfg,860 North Reigel Court,Moffat,CO,81143,2024-09-03,38.065284,-105.817955
404R-00184,DKC LLC,Kush concentrates,Retail Marijuana Products Mfg,"4960 North Jackson Street, Building 2 ",Denver,CO,80216,2024-09-03,39.794409,-104.942866
404R-00306,DPM COLORADO LLC,Green Dragon,Retail Marijuana Products Mfg,830 North Wyandot Street,Denver,CO,80204,2024-09-03,39.729625,-105.01391
404R-00407,DPM COLORADO LLC,Green Dragon,Retail Marijuana Products Mfg,830 North Wyandot Street,Denver,CO,80204,2024-09-03,39.729625,-105.01391
404R-00226,DUTCH BOTANICALS LLC,,Retail Marijuana Products Mfg,"17600 East Exposition Drive, Unit C-2",Aurora,CO,80017,2024-09-03,39.7039672,-104.7828795
404R-00147,E & C ENTERPRISES LLC,Conscious Medz,Retail Marijuana Products Mfg,1040 5th Avenue Suite 6,Lyons,CO,80540,2024-09-03,40.2295211,-105.2712917
404R-00354,EARTH ENERGY UNLIMITED LLC,Earth Energy Extracts,Retail Marijuana Products Mfg,"24 North Electronic Drive, Suite B",Pueblo West,CO,81007,2024-09-03,38.3265,-104.706879
404R-00442,EGOZI VENTURES LLC,,Retail Marijuana Products Mfg,2160 South Lipan Street,Denver,CO,80223,2024-09-03,39.6774261,-105.0016697
404R-00497,EJB VENTURES LLC,Harmony Extracts,Retail Marijuana Products Mfg,4500 North Jason Street,Denver,CO,80211,2024-09-03,39.778343,-104.999356
404R-00254,EJB VENTURES LLC,Harmony Extracts,Retail Marijuana Products Mfg,121 North Mariposa Street,Denver,CO,80223,2024-09-03,39.695499,-105.002699
404R-00278,EVERGREEN NATURALS LLC,Sun House,Retail Marijuana Products Mfg,58301 County Road Z,Moffat,CO,81143,2024-09-03,38.085529,-105.921786
404R-00283,EXPANDING EARTH LLC,,Retail Marijuana Products Mfg,59568 County Road T,Moffat,CO,81143,2024-09-03,37.9935538,-106.0274389
404R-00512,FLOW EXTRACTS LLC,,Retail Marijuana Products Mfg,8228 Maverick Lane Unit A,Ordway,CO,81063,2024-09-03,38.388905,-104.676225
404R-00245,FLYING J INC,Kushmas,Retail Marijuana Products Mfg,843 East Chemical Drive,Pueblo West,CO,81007,2024-09-03,38.328732,-104.707223
404R-00262,FOCUSED LABS LLC,,Retail Marijuana Products Mfg,"3795 North Paris Street, Unit D",Denver,CO,80239,2024-09-03,39.769585,-104.848522
404R-00382,FOREST ST MANUFACTURING LLC,Dialed In Gummies,Retail Marijuana Products Mfg,3820 North Forest Street,Denver,CO,80207,2024-09-03,39.769673,-104.926921
404R-00291,FREEDOM GROWERS INC,El Sol Labs,Retail Marijuana Products Mfg,"3502 Freedom Road, Unit A",Trinidad,CO,81082,2024-09-03,37.1888012,-104.4975284
404R-00065,GAS AND GRASS LLC,Rollup,Retail Marijuana Products Mfg,36 North Fabrication Drive Unit C,Pueblo West,CO,81007,2024-09-03,38.334576,-104.732223
404R-00372,GATSBY HOLDINGS LLC,Billo,Retail Marijuana Products Mfg,"1707 Copper Ridge Spur, Unit A",Steamboat Springs,CO,80487,2024-09-03,40.5125896,-106.852639
404R-00367,GENTLEMAN QUINNS LLC,Gentleman Quinns,Retail Marijuana Products Mfg,2282 North Broadway,Denver,CO,80205,2024-09-03,39.750928,-104.987313
404R-00301,GEORGE HASHINGTON LLC,,Retail Marijuana Products Mfg,61859 State Highway 285,Bailey,CO,80421,2024-09-03,39.43119,-105.464313
404R-00118,GHT FARMS LLC,GHT LLC,Retail Marijuana Products Mfg,"13800 East Moncrieff Place, Unit B",Aurora,CO,80011,2024-09-03,39.7655611,-104.8262752
404R-00052,GHT LLC,GHT Farms LLC,Retail Marijuana Products Mfg,5020 East 41st Avenue,Denver,CO,80216,2024-09-03,39.773473,-104.9292696
404R-00253,GOOD LIFE COLORADO LLC,,Retail Marijuana Products Mfg,"5475 North Peoria Street, Unit 4-110",Denver,CO,80239,2024-09-03,39.796292,-104.847165
404R-00502,GOOD LIFE COLORADO LLC,,Retail Marijuana Products Mfg,"5475 Peoria Street, Unit 4-110",Denver,CO,80239,2024-09-03,39.7950754,-104.8476993
404R-00017,GREEN CROSS COLORADO LLC,Green Cross Colorado,Retail Marijuana Products Mfg,660 North Bryant Street,Denver,CO,80204,2024-09-03,39.72585,-105.018602
404R-00189,GREEN CROSS COLORADO LLC,The Tumbleweed Dispensary,Retail Marijuana Products Mfg,"150 South Columbine Court, Unit 101",Parachute,CO,81635,2024-09-03,39.4531515,-108.0459798
404R-00349,GREEN STREET DISPENSARY LLC,The Greenery Hash Factory,Retail Marijuana Products Mfg,"29420 Highway 160 East, Unit C",Durango,CO,81303,2024-09-03,37.226984,-107.813419
404R-00481,GREEN STREET LLC,,Retail Marijuana Products Mfg,20319 Tamarack Lane,Ordway,CO,81063,2024-09-03,38.061467,-102.928414
404R-00403,GT INFUSIONS LLC,Green Treets,Retail Marijuana Products Mfg,"6859 North Foothills Highway, Unit E-200",Boulder,CO,80302,2024-09-03,40.0983218,-105.2821961
404R-00192,GUARANTEED GREEN LTD,Olio,Retail Marijuana Products Mfg,"462 Laredo Street, Unit C",Aurora,CO,80011,2024-09-03,39.7233244,-104.8000558
404R-00248,GUARANTEED GREEN LTD,Olio,Retail Marijuana Products Mfg,"4800 North Oakland Street, Unit 3",Denver,CO,80239,2024-09-03,39.78622,-104.850667
404R-00537,HAPPY PLANT EXTRACTS LLC,,Retail Marijuana Products Mfg,3610 County Road 58,Center,CO,81125,2024-09-03,37.794571,-105.946798
404R-00066,HARVEST OF COLORADO LLC,Harvest of Colorado,Retail Marijuana Products Mfg,"5231 North Monroe Street, Unit 100",Denver,CO,80216,2024-09-03,39.775704,-104.945285
404R-00084,HEARTLAND INDUSTRIES LLC,,Retail Marijuana Products Mfg,9000 South Interstate 25,Colorado City,CO,81019,2024-09-03,37.120143,-104.52041
404R-00424,HERBAL GARDEN EXTRACT LLC,,Retail Marijuana Products Mfg,302 Lamkin Street,Pueblo,CO,81003,2024-09-03,38.264717,-104.6167109
404R-00163,HWMF LLC,Rockin Extracts,Retail Marijuana Products Mfg,"77 North Laser Drive, Suite D",Pueblo West,CO,81007,2024-09-03,38.331276,-104.710791
404R-00525,IGADI LTD,IGADI,Retail Marijuana Products Mfg,"92 East 1st Street, Unit B",Nederland,CO,80466,2024-09-03,39.9617779,-105.5089031
404R-00096,IGADI LTD,IgadI,Retail Marijuana Products Mfg,"72399 US Highway 40, Unit D",Tabernash,CO,80478,2024-09-03,39.9967151,-105.88714
404R-00489,IN HOUSE LLC,,Retail Marijuana Products Mfg,735 West Bayaud Avenue,Denver,CO,80223,2024-09-03,39.714885,-104.997063
404R-00464,INDICO COLORADO INC,,Retail Marijuana Products Mfg,20637 Highway 96,Sugar City,CO,81076,2024-09-03,38.228508,-103.692436
404R-00452,INFINITE EXTRACTIONS LLC,,Retail Marijuana Products Mfg,7900 Lane 20,Ordway,CO,81063,2024-09-03,38.22749,-103.710771
404R-00128,INFINITE INFUSIONS LLC,Infinite Infusions,Retail Marijuana Products Mfg,412 South McCulloch Boulevard Unit F & G,Pueblo West,CO,81007,2024-09-03,38.343046,-104.720264
404R-00003,INFUZIONZ LLC,NectarBee,Retail Marijuana Products Mfg,4410 North Washington Street,Denver,CO,80216,2024-09-03,39.777269,-104.979085
404R-00355,INNOVATIVE FUSION LLC,Drip,Retail Marijuana Products Mfg,3945 East 50th Avenue,Denver,CO,80216,2024-09-03,39.7873348,-104.9413988
404R-00032,INVESTMENTS ETC LLC,HRVST,Retail Marijuana Products Mfg,2237 East Idaho Springs Road,Idaho Springs,CO,80452,2024-09-03,39.747969,-105.4595379
404R-00358,ISM2 INC,Green Dot Labs,Retail Marijuana Products Mfg,"7077 Winchester Circle, Units C and D",Boulder,CO,80301,2024-09-03,40.079111,-105.18887
404R-00513,J & C CORP,Juicy Concentrates,Retail Marijuana Products Mfg,74 North Fabrication Drive ,Pueblo West,CO,81007,2024-09-03,38.336333,-104.731625
404R-00326,J&P INVESTMENTS LLC,Newt Brothers Artisanal,Retail Marijuana Products Mfg,3850 East 48th Avenue,Denver,CO,80216,2024-09-03,39.7836948,-104.9423328
404R-00013,JCSC LLC,Cold Cure Labs,Retail Marijuana Products Mfg,"4237 North Josephine Street, Units 102 & 103",Denver,CO,80216,2024-09-03,39.775962,-104.95832
404R-00216,JET BLACK ENTERPRISES LLC,Leiffa,Retail Marijuana Products Mfg,12022 East 38th Avenue,Denver,CO,80239,2024-09-03,39.7695487,-104.8482368
404R-00114,JKC MANUFACTURING LLC,Stratos,Retail Marijuana Products Mfg,73 North Research Drive ,Pueblo West,CO,81007,2024-09-03,38.337742,-104.733501
404R-00482,JOE CAL ENTERPRISES INC,Pagosa Craft,Retail Marijuana Products Mfg,127 Goldmine Drive,Pagosa Springs,CO,81147,2024-09-03,37.2691991,-107.0311019
404R-00337,JOLET VENTURES LLC,710 Labs,Retail Marijuana Products Mfg,10975 East 47th Avenue,Denver,CO,80239,2024-09-03,39.7827982,-104.8602643
404R-00471,JP LABS II LLC,Robhots Edibles,Retail Marijuana Products Mfg,"37 North Silicon Drive, Unit A",Pueblo West,CO,81007,2024-09-03,38.330306,-104.716139
404R-00419,JVT ENTERPRISES INC,SPACE LAB,Retail Marijuana Products Mfg,1075 South Jason Street,Denver,CO,80223,2024-09-03,39.697252,-104.999271
404R-00546,K&P ENTERPRISE LLC,Atomic Concentrates,Retail Marijuana Products Mfg,3601 Freedom Road,Trinidad,CO,81082,2024-09-03,37.1888012,-104.4975284
404R-00040,KARING KIND LLC,Karing Kind,Retail Marijuana Products Mfg,5854 Rawhide Court,Boulder,CO,80302,2024-09-03,40.0807789,-105.2810285
404R-00196,KEBAR LLC,CSC,Retail Marijuana Products Mfg,5955 Washington Street,Denver,CO,80216,2024-09-03,39.7808526,-104.9790148
404R-00139,KEENS GREENS EDIBLES LLC,,Retail Marijuana Products Mfg,"1015 West Evans Avenue, Unit EA",Denver,CO,80223,2024-09-03,39.6785848,-104.9996785
404R-00148,KIND GOODS LLC,Rebel Edibles,Retail Marijuana Products Mfg,"462 Laredo Street, Unit F",Aurora,CO,80011,2024-09-03,39.7233244,-104.8000558
404R-00247,KIND LOVE LLC,,Retail Marijuana Products Mfg,4890 North Joliet Street,Denver,CO,80239,2024-09-03,39.786402,-104.861266
404R-00479,KP LLC,Binske,Retail Marijuana Products Mfg,136 North Yuma Street,Denver,CO,80223,2024-09-03,39.714164,-105.014411
404R-00140,KP LLC,Binske,Retail Marijuana Products Mfg,209 Nancy Crawford Boulevard,Oak Creek,CO,80467,2024-09-03,40.2750258,-106.9604777
404R-00494,KUNUBU COLORADO LLC,Kunubu,Retail Marijuana Products Mfg,499 Enterprise Street Unit A & B,Hayden,CO,81639,2024-09-03,40.489318,-107.246861
404R-00217,KUSH MASTERS LLC,Kush Masters,Retail Marijuana Products Mfg,7210 Valtec Court,Boulder,CO,80301,2024-09-03,40.0157898,-105.1859378
404R-00033,KUSH MASTERS LLC,KM Kush Masters,Retail Marijuana Products Mfg,6325 West 48th Avenue,Wheat Ridge,CO,80033,2024-09-03,39.7839749,-105.065333
404R-00290,L'EAGLE SERVICES LLC,L'Eagle,Retail Marijuana Products Mfg,380 North Quivas Street,Denver,CO,80223,2024-09-03,39.707569,-105.007424
404R-00547,LA VIDA DULCE,,Retail Marijuana Products Mfg,4805 North Kingston Street Suite 106,Denver,CO,80239,2024-09-03,39.786047,-104.859095
404R-00289,LARSEN GROUP II LLC,,Retail Marijuana Products Mfg,3215 East 42nd Avenue,Denver,CO,80216,2024-09-03,39.7752082,-104.9495194
404R-00353,LASTRIP LLC,,Retail Marijuana Products Mfg,60810 County Road AA,Moffat,CO,81143,2024-09-03,38.100148,-105.890498
404R-00347,LBW CONSULTING GROUP LLC,Seed & Smith,Retail Marijuana Products Mfg,5070 North Oakland Street,Denver,CO,80239,2024-09-03,39.78977,-104.850593
404R-00563,LIFE CANNABIS LLC,,Retail Marijuana Products Mfg,231 Wyandot Street,Denver,CO,80223,2024-09-03,39.7206175,-105.01431
404R-00177,LIFESTYLE FOODS INC,Ripple Colorado,Retail Marijuana Products Mfg,6795 East 49th Avenue,Commerce City,CO,80022,2024-09-03,39.785314,-104.9043475
404R-00505,LIGHTNING BOLT LLC ,Lightning Bolt Labs,Retail Marijuana Products Mfg,825 South Reigel Court,Moffat,CO,81143,2024-09-03,38.065284,-105.817955
404R-00015,LIVWELL XIII LLC,LivWell,Retail Marijuana Products Mfg,3770 North Joliet Street ,Denver,CO,80239,2024-09-03,39.769776,-104.861026
404R-00168,LOUD LABS LLC,Pyramid,Retail Marijuana Products Mfg,4805 Van Gordon Street,Wheat Ridge,CO,80033,2024-09-03,39.7840122,-105.1356073
404R-00004,LOVES OVEN LLC,Loves Oven,Retail Marijuana Products Mfg,225 North Mariposa Street,Denver,CO,80223,2024-09-03,39.695499,-105.002699
404R-00019,LUCKY SWEETS LLC,Lucky Edibles,Retail Marijuana Products Mfg,"3980 North Franklin Street, Unit 102",Denver,CO,80205,2024-09-03,39.7897523,-104.9687958
404R-00357,LUMINESCENCE LABS INC,Denver Dab Company,Retail Marijuana Products Mfg,35715 US Highway 40 Unit D305 & D306,Evergreen,CO,80439,2024-09-03,39.654969,-105.297135
404R-00304,MAGNOLIA ROAD INC,Magnolia Road Cannabis Company,Retail Marijuana Products Mfg,206 Elm Drive,Log Lane Village,CO,80705,2024-09-03,40.2696117,-103.8295737
404R-00462,MAMMOTH MANUFACTURING LLC,Goldwater Extracts,Retail Marijuana Products Mfg,845 North Navajo Street,Denver,CO,80204,2024-09-03,39.730513,-105.004089
404R-00379,MAMMOTH MANUFACTURING LLC,Goldwater Extracts,Retail Marijuana Products Mfg,50562 County Road U,Saguache,CO,81149,2024-09-03,38.01478,-106.099027
